[58 99 43 37 43]
DeepSea_5 BSDP: solve in 240 episode
DeepSea_5 BSDP: solve in 167 episode
DeepSea_6 BSDP: solve in 486 episode
DeepSea_6 BSDP: solve in 650 episode
DeepSea_6 BSDP: solve in 675 episode
DeepSea_6 BSDP: solve in 224 episode
DeepSea_6 BSDP: solve in 2624 episode
DeepSea_7 BSDP: solve in 1425 episode
DeepSea_7 BSDP: solve in 937 episode
DeepSea_7 BSDP: solve in 528 episode
DeepSea_7 BSDP: solve in 1718 episode
DeepSea_7 BSDP: solve in 390 episode
DeepSea_8 BSDP: solve in 1522 episode
DeepSea_8 BSDP: solve in 812 episode
DeepSea_8 BSDP: solve in 320 episode
DeepSea_8 BSDP: solve in 862 episode
DeepSea_8 BSDP: solve in 559 episode
DeepSea_9 BSDP: solve in 1196 episode
DeepSea_9 BSDP: solve in 978 episode
DeepSea_9 BSDP: solve in 708 episode
DeepSea_9 BSDP: solve in 1798 episode
DeepSea_9 BSDP: solve in 421 episode
DeepSea_10 BSDP: solve in 557 episode
DeepSea_10 BSDP: solve in 1767 episode
DeepSea_10 BSDP: solve in 923 episode
DeepSea_10 BSDP: solve in 1305 episode
DeepSea_10 BSDP: solve in 923 episode
DeepSea_11 BSDP: solve in 768 episode
DeepSea_11 BSDP: solve in 1176 episode
DeepSea_11 BSDP: solve in 1137 episode
DeepSea_11 BSDP: solve in 1414 episode
DeepSea_11 BSDP: solve in 809 episode
DeepSea_12 BSDP: solve in 3107 episode
DeepSea_12 BSDP: solve in 1180 episode
DeepSea_12 BSDP: solve in 4999 episode
DeepSea_12 BSDP: solve in 4999 episode
DeepSea_12 BSDP: solve in 4999 episode
