[58, 99, 43, 37, 43]
DeepSea_5 BSDP: solve in 28 episode
DeepSea_5 BSDP: solve in 8 episode
DeepSea_5 BSDP: solve in 72 episode
DeepSea_6 BSDP: solve in 13 episode
DeepSea_6 BSDP: solve in 104 episode
DeepSea_6 BSDP: solve in 70 episode
DeepSea_6 BSDP: solve in 3 episode
DeepSea_6 BSDP: solve in 45 episode
DeepSea_7 BSDP: solve in 87 episode
DeepSea_7 BSDP: solve in 151 episode
DeepSea_7 BSDP: solve in 138 episode
DeepSea_7 BSDP: solve in 61 episode
DeepSea_7 BSDP: solve in 131 episode
DeepSea_8 BSDP: solve in 98 episode
DeepSea_8 BSDP: solve in 169 episode
DeepSea_8 BSDP: solve in 44 episode
DeepSea_8 BSDP: solve in 14 episode
DeepSea_8 BSDP: solve in 7 episode
DeepSea_9 BSDP: solve in 211 episode
DeepSea_9 BSDP: solve in 278 episode
DeepSea_9 BSDP: solve in 178 episode
DeepSea_9 BSDP: solve in 194 episode
DeepSea_9 BSDP: solve in 114 episode
DeepSea_10 BSDP: solve in 236 episode
DeepSea_10 BSDP: solve in 131 episode
DeepSea_10 BSDP: solve in 187 episode
DeepSea_10 BSDP: solve in 430 episode
DeepSea_10 BSDP: solve in 174 episode
DeepSea_11 BSDP: solve in 190 episode
DeepSea_11 BSDP: solve in 844 episode
DeepSea_11 BSDP: solve in 354 episode
DeepSea_11 BSDP: solve in 827 episode
DeepSea_11 BSDP: solve in 41 episode
DeepSea_12 BSDP: solve in 2433 episode
DeepSea_12 BSDP: solve in 771 episode
DeepSea_12 BSDP: solve in 379 episode
DeepSea_12 BSDP: solve in 322 episode
DeepSea_12 BSDP: solve in 415 episode
DeepSea_13 BSDP: solve in 789 episode
DeepSea_13 BSDP: solve in 1879 episode
DeepSea_13 BSDP: solve in 709 episode
DeepSea_13 BSDP: solve in 1421 episode
DeepSea_13 BSDP: solve in 307 episode
DeepSea_14 BSDP: solve in 1062 episode
DeepSea_14 BSDP: solve in 1375 episode
DeepSea_14 BSDP: solve in 648 episode
DeepSea_14 BSDP: solve in 3604 episode
DeepSea_14 BSDP: solve in 1109 episode
DeepSea_15 BSDP: solve in 1256 episode
DeepSea_15 BSDP: solve in 308 episode
DeepSea_15 BSDP: solve in 1162 episode
DeepSea_15 BSDP: solve in 1543 episode
DeepSea_15 BSDP: solve in 1812 episode
DeepSea_16 BSDP: solve in 2610 episode
DeepSea_16 BSDP: solve in 4484 episode
DeepSea_16 BSDP: solve in 2993 episode
DeepSea_16 BSDP: solve in 2871 episode
DeepSea_16 BSDP: solve in 1391 episode
DeepSea_17 BSDP: solve in 4999 episode
DeepSea_17 BSDP: solve in 3693 episode
DeepSea_17 BSDP: solve in 1850 episode
DeepSea_17 BSDP: solve in 1959 episode
DeepSea_17 BSDP: solve in 943 episode

[58, 99, 43, 37, 43]
DeepSea_1 DQN: solve in 2 episode
DeepSea_1 DQN: solve in 0 episode
DeepSea_1 DQN: solve in 6 episode
DeepSea_1 DQN: solve in 2 episode
DeepSea_1 DQN: solve in 0 episode
DeepSea_2 DQN: solve in 0 episode
DeepSea_2 DQN: solve in 6 episode
DeepSea_2 DQN: solve in 0 episode
DeepSea_2 DQN: solve in 0 episode
DeepSea_2 DQN: solve in 2 episode
DeepSea_3 DQN: solve in 2 episode
DeepSea_3 DQN: solve in 21 episode
DeepSea_3 DQN: solve in 5 episode
DeepSea_3 DQN: solve in 2 episode
DeepSea_3 DQN: solve in 5 episode
DeepSea_4 DQN: solve in 18 episode
DeepSea_4 DQN: solve in 3 episode
DeepSea_4 DQN: solve in 4 episode
DeepSea_4 DQN: solve in 29 episode
DeepSea_4 DQN: solve in 4 episode
DeepSea_5 DQN: solve in 13 episode
DeepSea_5 DQN: solve in 30 episode
