[58, 99, 43, 37, 43]
DeepSea_1 BS: solve in 2 episode
DeepSea_1 BS: solve in 0 episode
DeepSea_1 BS: solve in 1 episode
DeepSea_1 BS: solve in 0 episode
DeepSea_1 BS: solve in 0 episode
DeepSea_2 BS: solve in 1 episode
DeepSea_2 BS: solve in 64 episode
DeepSea_2 BS: solve in 1 episode
DeepSea_2 BS: solve in 47 episode
DeepSea_2 BS: solve in 6 episode
DeepSea_3 BS: solve in 1 episode
DeepSea_3 BS: solve in 2 episode
DeepSea_3 BS: solve in 64 episode
DeepSea_3 BS: solve in 6 episode
DeepSea_3 BS: solve in 177 episode
DeepSea_4 BS: solve in 4 episode
DeepSea_4 BS: solve in 332 episode
DeepSea_4 BS: solve in 61 episode
DeepSea_4 BS: solve in 86 episode
DeepSea_4 BS: solve in 89 episode
DeepSea_5 BS: solve in 0 episode
DeepSea_5 BS: solve in 2051 episode
DeepSea_5 BS: solve in 122 episode
DeepSea_5 BS: solve in 111 episode
DeepSea_5 BS: solve in 147 episode
DeepSea_6 BS: solve in 1372 episode
DeepSea_6 BS: solve in 1904 episode
DeepSea_6 BS: solve in 172 episode
DeepSea_6 BS: solve in 211 episode
DeepSea_6 BS: solve in 321 episode
DeepSea_7 BS: solve in 2236 episode
