04:11:09,534  0, step: 20, E: 0.4, Total_steps: 20
04:11:09,665  1, step: 10, E: 0.3, Total_steps: 30
04:11:10,169  2, step: 38, E: 0.42105263157894735, Total_steps: 68
04:11:10,472  3, step: 21, E: 0.42857142857142855, Total_steps: 89
04:11:10,662  4, step: 16, E: 0.375, Total_steps: 105
04:11:10,945  5, step: 18, E: 0.3333333333333333, Total_steps: 123
04:11:11,229  6, step: 19, E: 0.3684210526315789, Total_steps: 142
04:11:11,533  7, step: 19, E: 0.5263157894736842, Total_steps: 161
04:11:11,738  8, step: 16, E: 0.375, Total_steps: 177
04:11:11,976  9, step: 15, E: 0.4, Total_steps: 192
04:11:13,909  10, step: 14, E: 0.5714285714285714, Total_steps: 206
04:11:14,180  11, step: 20, E: 0.5, Total_steps: 226
04:11:14,461  12, step: 18, E: 0.4444444444444444, Total_steps: 244
04:11:14,621  13, step: 13, E: 0.3076923076923077, Total_steps: 257
04:11:14,872  14, step: 17, E: 0.5294117647058824, Total_steps: 274
04:11:15,129  15, step: 22, E: 0.4090909090909091, Total_steps: 296
04:11:15,581  16, step: 11, E: 0.2727272727272727, Total_steps: 307
04:11:16,506  17, step: 16, E: 0.3125, Total_steps: 323
04:11:17,459  18, step: 24, E: 0.4583333333333333, Total_steps: 347
04:11:18,61  19, step: 12, E: 0.25, Total_steps: 359
04:11:20,220  20, step: 21, E: 0.3333333333333333, Total_steps: 380
04:11:20,664  21, step: 10, E: 0.1, Total_steps: 390
04:11:21,142  22, step: 10, E: 0.0, Total_steps: 400
04:11:21,584  23, step: 10, E: 0.1, Total_steps: 410
04:11:22,15  24, step: 10, E: 0.1, Total_steps: 420
04:11:22,442  25, step: 10, E: 0.0, Total_steps: 430
04:11:22,841  26, step: 9, E: 0.0, Total_steps: 439
04:11:23,144  27, step: 8, E: 0.0, Total_steps: 447
04:11:23,641  28, step: 10, E: 0.0, Total_steps: 457
04:11:24,85  29, step: 10, E: 0.0, Total_steps: 467
04:11:25,840  30, step: 10, E: 0.0, Total_steps: 477
04:11:26,515  31, step: 10, E: 0.0, Total_steps: 487
04:11:26,967  32, step: 9, E: 0.0, Total_steps: 496
04:11:27,409  33, step: 10, E: 0.0, Total_steps: 506
04:11:28,58  34, step: 9, E: 0.0, Total_steps: 515
04:11:28,435  35, step: 10, E: 0.0, Total_steps: 525
04:11:28,935  36, step: 10, E: 0.0, Total_steps: 535
04:11:29,219  37, step: 8, E: 0.0, Total_steps: 543
04:11:29,511  38, step: 8, E: 0.0, Total_steps: 551
04:11:29,843  39, step: 8, E: 0.0, Total_steps: 559
04:11:31,509  40, step: 9, E: 0.0, Total_steps: 568
04:11:32,1  41, step: 10, E: 0.0, Total_steps: 578
04:11:32,456  42, step: 10, E: 0.0, Total_steps: 588
04:11:32,972  43, step: 10, E: 0.0, Total_steps: 598
04:11:33,381  44, step: 9, E: 0.0, Total_steps: 607
04:11:33,804  45, step: 9, E: 0.0, Total_steps: 616
04:11:34,133  46, step: 9, E: 0.0, Total_steps: 625
04:11:34,595  47, step: 9, E: 0.1111111111111111, Total_steps: 634
04:11:35,14  48, step: 9, E: 0.0, Total_steps: 643
04:11:35,510  49, step: 8, E: 0.0, Total_steps: 651
04:11:37,429  50, step: 10, E: 0.1, Total_steps: 661
04:11:37,906  51, step: 10, E: 0.1, Total_steps: 671
04:11:38,346  52, step: 10, E: 0.0, Total_steps: 681
04:11:38,748  53, step: 9, E: 0.0, Total_steps: 690
04:11:39,401  54, step: 10, E: 0.0, Total_steps: 700
04:11:39,774  55, step: 9, E: 0.0, Total_steps: 709
04:11:40,208  56, step: 9, E: 0.0, Total_steps: 718
04:11:40,686  57, step: 10, E: 0.0, Total_steps: 728
04:11:41,102  58, step: 8, E: 0.0, Total_steps: 736
04:11:41,562  59, step: 10, E: 0.1, Total_steps: 746
04:11:43,70  60, step: 11, E: 0.0, Total_steps: 757
04:11:43,524  61, step: 10, E: 0.0, Total_steps: 767
04:11:43,946  62, step: 9, E: 0.0, Total_steps: 776
04:11:44,371  63, step: 10, E: 0.1, Total_steps: 786
04:11:44,736  64, step: 9, E: 0.1111111111111111, Total_steps: 795
04:11:45,72  65, step: 9, E: 0.1111111111111111, Total_steps: 804
04:11:45,469  66, step: 9, E: 0.2222222222222222, Total_steps: 813
04:11:45,896  67, step: 9, E: 0.2222222222222222, Total_steps: 822
04:11:46,511  68, step: 12, E: 0.16666666666666666, Total_steps: 834
04:11:46,943  69, step: 10, E: 0.2, Total_steps: 844
04:11:48,757  70, step: 10, E: 0.1, Total_steps: 854
04:11:49,205  71, step: 9, E: 0.1111111111111111, Total_steps: 863
04:11:49,606  72, step: 9, E: 0.1111111111111111, Total_steps: 872
04:11:49,975  73, step: 9, E: 0.0, Total_steps: 881
04:11:50,333  74, step: 9, E: 0.1111111111111111, Total_steps: 890
04:11:50,777  75, step: 9, E: 0.1111111111111111, Total_steps: 899
04:11:51,214  76, step: 9, E: 0.0, Total_steps: 908
04:11:51,741  77, step: 10, E: 0.2, Total_steps: 918
04:11:52,250  78, step: 11, E: 0.2727272727272727, Total_steps: 929
04:11:52,800  79, step: 10, E: 0.1, Total_steps: 939
04:11:54,346  80, step: 9, E: 0.1111111111111111, Total_steps: 948
04:11:54,740  81, step: 9, E: 0.1111111111111111, Total_steps: 957
04:11:55,119  82, step: 9, E: 0.1111111111111111, Total_steps: 966
04:11:55,489  83, step: 8, E: 0.0, Total_steps: 974
04:11:55,927  84, step: 9, E: 0.0, Total_steps: 983
04:11:56,732  85, step: 9, E: 0.1111111111111111, Total_steps: 992
04:11:57,133  86, step: 10, E: 0.1, Total_steps: 1002
