23:19:38,261  0, step: 13, E: 0.15384615384615385, Total_steps: 13
23:19:38,400  1, step: 13, E: 0.3076923076923077, Total_steps: 26
23:19:38,659  2, step: 20, E: 0.4, Total_steps: 46
23:19:38,810  3, step: 13, E: 0.3076923076923077, Total_steps: 59
23:19:38,949  4, step: 12, E: 0.25, Total_steps: 71
23:19:39,207  5, step: 24, E: 0.4583333333333333, Total_steps: 95
23:19:39,293  6, step: 11, E: 0.18181818181818182, Total_steps: 106
23:19:39,433  7, step: 14, E: 0.35714285714285715, Total_steps: 120
23:19:39,616  8, step: 19, E: 0.5263157894736842, Total_steps: 139
23:19:39,691  9, step: 10, E: 0.1, Total_steps: 149
23:19:40,770  10, step: 16, E: 0.25, Total_steps: 165
23:19:40,889  11, step: 13, E: 0.23076923076923078, Total_steps: 178
23:19:40,993  12, step: 11, E: 0.18181818181818182, Total_steps: 189
23:19:41,96  13, step: 15, E: 0.2, Total_steps: 204
23:19:41,275  14, step: 18, E: 0.3333333333333333, Total_steps: 222
23:19:41,487  15, step: 23, E: 0.391304347826087, Total_steps: 245
23:19:41,632  16, step: 20, E: 0.45, Total_steps: 265
23:19:41,755  17, step: 15, E: 0.4666666666666667, Total_steps: 280
23:19:41,865  18, step: 12, E: 0.25, Total_steps: 292
23:19:42,483  19, step: 25, E: 0.4, Total_steps: 317
23:19:43,689  20, step: 14, E: 0.2857142857142857, Total_steps: 331
23:19:43,907  21, step: 9, E: 0.1111111111111111, Total_steps: 340
23:19:44,194  22, step: 13, E: 0.23076923076923078, Total_steps: 353
23:19:44,452  23, step: 11, E: 0.2727272727272727, Total_steps: 364
23:19:44,966  24, step: 20, E: 0.3, Total_steps: 384
23:19:45,232  25, step: 10, E: 0.0, Total_steps: 394
23:19:46,69  26, step: 26, E: 0.3076923076923077, Total_steps: 420
23:19:46,403  27, step: 10, E: 0.1, Total_steps: 430
23:19:46,736  28, step: 12, E: 0.08333333333333333, Total_steps: 442
23:19:47,29  29, step: 10, E: 0.1, Total_steps: 452
23:19:48,110  30, step: 10, E: 0.0, Total_steps: 462
23:19:48,488  31, step: 11, E: 0.09090909090909091, Total_steps: 473
23:19:48,856  32, step: 10, E: 0.0, Total_steps: 483
23:19:49,98  33, step: 10, E: 0.0, Total_steps: 493
23:19:49,393  34, step: 9, E: 0.0, Total_steps: 502
23:19:49,798  35, step: 9, E: 0.0, Total_steps: 511
