18:32:03,221  0, step: 10, E: 0.0, Total_steps: 10
18:32:03,977  1, step: 14, E: 0.0, Total_steps: 24
18:32:04,560  2, step: 11, E: 0.0, Total_steps: 35
18:32:05,85  3, step: 10, E: 0.0, Total_steps: 45
18:32:05,672  4, step: 11, E: 0.0, Total_steps: 56
18:32:08,648  5, step: 9, E: 0.0, Total_steps: 65
18:32:09,390  6, step: 14, E: 0.0, Total_steps: 79
18:32:10,188  7, step: 15, E: 0.0, Total_steps: 94
18:32:11,41  8, step: 15, E: 0.0, Total_steps: 109
18:32:11,718  9, step: 12, E: 0.0, Total_steps: 121
18:32:15,132  10, step: 23, E: 0.0, Total_steps: 144
18:32:15,651  11, step: 10, E: 0.0, Total_steps: 154
18:32:16,442  12, step: 15, E: 0.0, Total_steps: 169
18:32:17,277  13, step: 16, E: 0.0, Total_steps: 185
18:32:17,950  14, step: 13, E: 0.0, Total_steps: 198
18:32:20,557  15, step: 10, E: 0.0, Total_steps: 208
18:32:21,192  16, step: 12, E: 0.0, Total_steps: 220
18:32:21,709  17, step: 10, E: 0.0, Total_steps: 230
18:32:22,433  18, step: 14, E: 0.0, Total_steps: 244
18:32:23,262  19, step: 16, E: 0.0, Total_steps: 260
18:32:27,298  20, step: 9, E: 0.0, Total_steps: 269
18:32:28,396  21, step: 21, E: 0.0, Total_steps: 290
